DWT_LSUCNT,DWT_CPICNT,DWT_EXCCNT,DWT_CYCCNT,DWT_SLEEPCNT,DWT_FOLDCNT,LSU_stim,CPI_stim,FLD_stim,EXC_stim,LEGIT,TIME,METADATA
6351106,6958013,10943,225246335,0,1915032,0,231670,253431,141152,0,2047,
5852839,6206547,10526,182378236,0,1629652,40825,224763,57438,126289,0,1658,
7668947,7726067,12380,208962780,0,2594778,226231,0,0,296601,0,1899,
5287393,5451752,8621,169545795,0,893850,116102,287005,0,13346,0,1541,
7095812,7421890,11818,208371130,0,2400036,95703,169626,0,264166,0,1894,
5708952,5871244,9293,156018929,0,1662579,76338,117727,0,141443,0,1418,
6358014,6714787,11632,170739043,0,2519982,0,0,107603,266318,0,1552,
8004390,7986206,12422,225734248,0,2497810,298227,15896,0,280429,0,2052,
5092061,4950029,8619,138382509,0,895602,205099,0,81989,0,0,1258,
4022571,3968756,7019,88274417,0,837171,56751,0,24195,0,0,802,
6384563,6752071,11292,205273072,0,2005826,42350,247482,0,191311,1,1866,
4017500,4061658,6912,85710223,0,1056625,0,0,28475,35867,0,779,
5487428,5775237,10346,148954180,0,1906994,0,0,146696,157697,0,1354,
7417248,7888007,11990,225202255,0,2665092,50581,233098,0,308327,0,2047,
5366038,5063992,9535,139823565,0,813956,291303,0,0,0,0,1271,
7983180,8406775,13057,253627414,0,2726006,134430,175217,98482,302061,0,2305,
4350143,4400652,7852,93311130,0,1246746,11417,5012,0,72237,0,848,
5112670,5472274,8985,162046306,0,1196420,0,299924,17377,60878,0,1473,
6712644,6701392,10742,177762686,0,2049751,205033,0,0,205864,0,1616,
5500534,5568010,9777,176461534,0,1014145,181623,65083,199889,0,0,1604,
5002338,5234073,9853,162474527,0,1132981,71712,0,318774,0,0,1477,
5308201,5116209,8286,146369162,0,887411,245799,0,73792,0,0,1330,
7206192,7466998,14511,271279604,0,1920082,206977,125665,253401,119943,1,2466,
7487694,7516764,11193,241315637,0,1891155,318185,0,226802,141621,0,2193,
6275332,6664659,11339,176566161,0,2407489,0,0,166121,237770,0,1605,
5430542,5660100,10036,174525342,0,1090015,93664,255633,45021,38444,0,1586,
4703613,4958025,8456,148884633,0,1119218,29049,0,305581,0,0,1353,
6126167,6750228,10910,226849419,0,1700558,0,239507,305496,96716,0,2062,
5998660,5924421,9117,192878307,0,1040102,283352,3567,226105,0,0,1753,
6158967,6405054,11110,172073057,0,2013146,65286,86418,49733,191468,0,1564,
4732405,5089173,9749,157576701,0,966010,0,219634,151901,0,0,1432,
6566695,6730459,11848,210138708,0,1735788,194820,0,260313,110088,0,1910,
5106604,5607387,9361,156124712,0,1435455,0,220656,26763,99121,0,1420,
5539031,5863164,9914,193002590,0,963458,174691,192630,149160,0,0,1754,
6104352,6242382,10569,208706960,0,1094814,299165,0,280308,0,0,1897,
4638521,4601434,8109,116727690,0,817601,193298,0,4200,0,0,1061,
5518575,5661873,9476,178055921,0,1035717,231250,0,221617,0,0,1618,
6557707,6894309,11215,216596911,0,1785163,203578,0,271343,116515,0,1969,
5372565,5827521,9562,148972065,0,1939690,0,0,139390,164394,0,1354,
6987635,7412686,12160,270189130,0,1284523,281744,230180,288702,30081,0,2456,
6513625,6773967,11217,231929617,0,1068077,283716,283632,73607,29933,0,2108,
5297244,5395982,8988,140044368,0,1339719,165014,0,31871,82346,0,1273,
6226024,6819591,11539,198627981,0,2441103,0,0,221074,226854,1,1805,
3738801,3925917,7246,86064693,0,813072,18783,54289,0,0,0,782,
5687800,5896353,9922,154052070,0,1687927,136350,0,54787,136515,0,1400,
6229495,6835527,10911,188840462,0,2366680,0,53130,174749,229571,0,1716,
7421015,8229253,13269,267074313,0,2391813,65546,301753,182785,232242,0,2428,
4621142,4970919,8545,120133067,0,1475372,0,0,104564,92875,0,1092,
5211773,5464490,9398,169801125,0,1071720,162135,0,257699,0,0,1543,
5861670,5970414,10002,177151905,0,1170341,241025,136786,0,59361,0,1610,
4625434,4667243,8159,122109042,0,813439,166465,54071,0,0,0,1110,
4345152,4708556,8040,121630462,0,1198266,0,27119,147545,39551,0,1105,
4111163,4211268,7482,99301594,0,846557,88919,4544,33431,0,0,902,
6665061,7171081,11291,180721178,0,2698723,24618,67716,0,314023,0,1642,
